aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,Class,Ph,Turbidity
4.44,1.03,0.18,2.42,0.03,0.8,0.58,0.24,0.05,0.35,0.002,0.102,15.32,2.2,0.007,16.73,4.04,0.03,0.25,0.03,0,7.280560357,2.919796005
2.64,11.29,0.88,3.48,0.12,2.51,0.02,1.21,0.75,0.38,0.007,0.008,14.58,1.3,0.004,23.84,1.5,0.02,0.42,0.09,0,6.83425989,2.658843412
0.52,28.28,0.66,1.46,0.04,5.36,0.05,1.33,1.29,0.43,0.006,0.108,9.25,2.01,0.004,29.05,2.12,0.07,0.07,0.01,1,6.728975148,4.593787133
4.75,18.54,0.61,3.35,0.09,4.05,0.27,0.93,0.94,0.92,0.92,0.011,0.66,2.5,0.004,52.55,4.51,0,0.12,0.07,0,8.016418375,5.320015455
0.44,23.44,0.42,2.87,0.04,7.3,0.4,1.19,0.52,0.49,0.003,0.057,14.6,1.65,0.005,30.59,3.1,0.07,0.31,0.08,0,6.864916739,4.493746769
1.18,12.17,0.02,1.9,0.11,7.67,0.66,1.63,0.27,0.62,0.62,0.166,0.32,1.45,0.003,46.39,0.24,0,0.06,0.05,0,5.80897552,3.599933102
3.83,21.94,0.96,2.16,0.08,0.61,0.47,0.1,1.07,0.22,0.004,0.089,16.96,1.75,0.01,16.12,7.81,0.07,0.2,0,0,8.458796988,3.827431411
0.33,9.77,0.48,3.66,0.08,3.79,0.62,1.15,1.49,0.11,0.001,0.087,16.69,1.95,0.006,2.56,4.27,0.1,0.45,0.07,0,6.987335279,3.870292782
4.45,12.08,0.42,1.16,0.11,4.18,0.13,1.17,0.82,0.62,0.62,0.177,15.19,1.54,0.001,48.83,6.52,0.07,0.42,0.07,0,7.288736661,3.531384661
4.5,7.38,0.81,1.03,0.07,3.12,0.36,0.55,1.14,0.26,0.006,0.18,16.23,1.9,0.01,55.35,7.79,0.08,0.13,0.01,0,8.116350275,2.526016236
0.32,9.64,0.32,3.95,0.06,7.12,0.16,1.53,1.17,0.43,0.007,0.091,14.73,1.01,0.009,58.26,0.54,0.03,0.39,0.04,0,7.463915951,5.075843604
1.53,0.25,0.96,2.85,0.06,6.12,0.85,1.4,0.44,0.07,0.007,0.15,10.66,1.24,0.005,38.93,4.51,0.02,0.18,0.08,0,7.512361216,3.515802547
0.85,3.46,0.47,2.94,0.11,5.55,0.53,0.96,0.02,0.63,0.63,0.042,11.64,2.11,0.009,21.73,6.67,0.09,0.27,0.04,0,6.415108472,6.073006014
3.64,22.9,0.58,1.98,0.12,6.23,0.22,1.82,0.02,0.22,0.008,0.017,13.91,1.76,0.001,57.25,0.74,0,0.35,0.06,0,7.059940234,2.949938823
1.04,28.85,1.05,2.37,0.02,8.32,0.04,0.84,0.62,0.8,0.8,0.093,11.56,1.57,0.004,31.71,0.2,0.03,0.48,0.02,0,,1.659799385
1.74,7.08,0.7,1.26,0.05,1.21,0.73,1.78,0.33,0.22,0,0.061,2.16,1.39,0.01,46.5,4.79,0.01,0.24,0.02,0,7.425102223,2.558772744
0.84,22.29,0.84,2.1,0.09,3.43,0.19,1.54,0.47,0.67,0.67,0.042,1.2,1.86,0.008,10.72,2.28,0.1,0.35,0.08,0,6.742622398,4.96467264
4.56,11.54,0.59,3.89,0.04,3.69,0.02,1.35,1.33,0.21,0.007,0.151,9.61,2.15,0.009,54.02,7.23,0.08,0.07,0.01,0,7.682923445,3.542731087
2.15,8.12,0.94,2.92,0.12,0.51,0.03,1.22,0.78,0.46,0.007,0.082,18.02,1.66,0.006,36.09,7.02,0.04,0.2,0.01,0,7.041665417,3.099746163
3.46,13.95,0.42,3.11,0.01,3.22,0.52,1.67,0.62,0.02,0.004,0.09,14.02,1.99,0.008,11.54,3.78,0.07,0.07,0.06,0,7.185276449,2.959153823
4.96,17.22,0.29,1.5,0.04,4.54,0.29,1.64,1.43,0.16,0.009,0.075,14.29,1.76,0.002,37.47,3.34,0,0.07,0.02,1,6.597292363,4.318305407
1.13,23.77,0.32,2.87,0.02,5.4,0.58,1.56,0.21,0.73,0.73,0.111,4.74,1.97,0.001,51.32,7.92,0.09,0.29,0.04,0,6.908853083,4.693949416
2.89,14.74,0.88,2.39,0.03,5.25,0.18,0.69,1.06,0.89,0.89,0.061,1.67,1.5,0,52.92,5.22,0.01,0.21,0.06,0,,3.573741106
2.74,28.97,0.95,2.34,0.13,5.54,0.07,1.12,0.53,0.14,0.008,0.159,15.26,1.96,0.006,20.83,0.84,0.02,0.13,0.03,0,,3.603089689
3.99,4.38,0.97,3.1,0.04,5.76,0.09,1.69,0.11,0.47,0.008,0.058,8.78,1.84,0.001,47.44,7.51,0,0.19,0.09,0,6.281903929,4.457729915
2.75,29.32,0.37,2.63,0.11,3.13,0.73,1.05,0.81,0.25,0.005,0.066,4.69,1.45,0,50.48,5.73,0.07,0.35,0.02,0,7.036752104,3.285371835
4.16,0.83,0.89,3.63,0.08,1.77,0.59,0.31,1.3,0.37,0.001,0.154,16.44,2.57,0.007,13.84,5.69,0.09,0.18,0.04,0,7.362912867,3.249439878
0.1,23.89,0.56,1.09,0.06,2.78,0.24,1.14,1.16,0.85,0.85,0.114,0.9,1.74,0.005,22.34,4.16,0.05,0.49,0.06,0,7.369087139,2.715186685
2.77,26.71,0.05,0.48,0.06,6.13,0.8,1.62,0.96,0.45,0,0.138,6.02,2.47,0,4.79,0.2,0.01,0.01,0.06,0,7.708109989,4.896625908
4.62,18.07,0.31,2.62,0.05,8.07,0.36,1.85,0.44,0.18,0,0.047,14.29,1.58,0.002,20.5,3.95,0.05,0.46,0,0,6.50411278,5.396623142
2.04,28.64,1.01,3.64,0.11,6.69,0.27,0.2,0.58,0.8,0.8,0.112,12.41,1.8,0.007,52.81,7.21,0.07,0.46,0.09,0,8.185923417,3.566945145
0.33,15.55,0.07,4.22,0.01,0.39,0.79,0.31,0.74,0.13,0.001,0.016,14.46,2.12,0.005,37.25,6.24,0.03,0.11,0.05,0,6.149185174,4.275614874
1.19,9.56,0.62,2.4,0.07,6.61,0.47,1.37,0.71,0.99,0.99,0.112,11.64,1.46,0.001,41.22,1.73,0,0.24,0.06,0,7.080445821,2.664946055
4.49,25.9,1,0.5,0.09,3.87,0.55,0.66,0.49,0.22,0.006,0.151,14.44,1.4,0.003,33.08,2.16,0.06,0.46,0.05,0,6.628427347,3.405278618
3.88,15.34,0.22,2.22,0.01,6.85,0.71,1.47,0.15,0.37,0.002,0.085,19.14,2.24,0.001,11.68,3.55,0.05,0.18,0.07,0,4.704698462,4.109924712
2.52,28.4,0.39,4.07,0.06,3.66,0.63,1.47,1.37,0.31,0.002,0.197,13.57,1.32,0.005,16.99,2.13,0.09,0.05,0.03,0,7.976900874,4.753607931
2.31,26.91,0.77,4.33,0.06,5.75,0.79,1.97,1.48,0.34,0.009,0.031,9.93,1.74,0.001,5.61,1.11,0.09,0.14,0.08,0,6.809644515,3.183803572
4.38,25.39,1,2.53,0.1,2.51,0.34,0.71,0.91,0.66,0.66,0.182,16.08,1.94,0.006,56.99,4.84,0.08,0.05,0.05,0,,4.032267339
4.98,8.26,0.38,0.45,0.01,3.18,0.57,1.18,0.03,0.28,0,0.069,0.64,1.69,0.004,38.13,1.73,0.05,0.43,0.04,0,6.967696683,4.819637104
0.05,21.53,0.94,2.98,0.11,5.44,0.79,1.49,0.65,0.63,0.63,0.16,13.27,1.27,0.003,32.68,6.82,0.02,0.34,0.01,0,6.44455517,3.551905359
0.16,9.08,0.04,2.85,0.007,0.35,0.83,0.17,0.05,0.2,0,0.054,16.08,1.13,0.007,37.75,6.78,0.08,0.34,0.02,0,6.277742483,5.255011943
0.02,21.16,0.01,3.31,0.002,5.28,0.68,0.66,0.9,0.65,0.65,0.1,2.01,1.93,0.003,32.26,3.21,0.08,0.27,0.05,0,,2.505464027
0.06,14.02,0.04,0.58,0.008,4.24,0.53,0.02,0.99,0.05,0.003,0.078,14.16,1.11,0.006,50.28,7.07,0.07,0.44,0.01,0,9.014356734,4.549419413
0.02,11.33,0.04,2.96,0.001,7.23,0.03,1.66,1.08,0.71,0.71,0.016,1.41,1.29,0.004,9.12,1.72,0.02,0.45,0.05,0,7.78166376,4.822967485
0.09,24.33,0.03,0.2,0.006,2.67,0.69,0.57,0.61,0.13,0.001,0.117,6.74,1.11,0.003,16.9,2.41,0.02,0.06,0.02,1,6.084360116,4.29811092
0.11,14.47,0.03,2.88,0.003,0.8,0.43,1.38,0.11,0.67,0.67,0.135,9.75,1.89,0.006,27.17,5.42,0.08,0.19,0.02,0,7.15473588,4.629955736
0.19,5.6,0.01,1.35,0.004,1.28,0.62,1.88,0.33,0.13,0.007,0.021,18.6,1.78,0.007,45.34,2.84,0.1,0.24,0.08,0,6.74881155,3.312512766
0.01,19.87,0.04,0.66,0.001,6.22,0.1,1.86,0.86,0.16,0.005,0.197,13.65,1.81,0.001,53.35,7.24,0.08,0.08,0.07,0,8.128270069,4.678742166
0.09,24.58,0.01,0.71,0.005,3.14,0.77,1.45,0.98,0.35,0.002,0.167,14.66,1.84,0.004,23.43,4.99,0.08,0.25,0.08,0,,3.978495494
0.03,16.76,0.02,1.37,0.007,6.4,0.49,0.82,1.24,0.83,0.83,0.109,4.79,1.46,0.01,30.42,0.08,0.03,0.31,0.01,0,6.335683142,4.57886119
0.01,3.6,0.001,2.69,0.005,5.75,0.15,0.6,1.29,0.04,0.008,0.145,8.47,1.25,0.006,55.4,7.8,0.05,0.33,0.06,0,5.940475876,3.997969671
0.1,21.96,0.04,0.84,0.002,0.1,0.76,0.17,0.58,0.52,0.52,0.011,18.4,1.49,0.009,21.52,1.3,0.08,0.48,0.08,0,7.614877639,2.990780894
0.2,19.26,0.02,2.78,0.008,0.05,0.42,1,0.09,0.91,0.91,0.103,4.37,1.95,0.006,22.12,1.97,0.03,0.06,0.05,0,6.718249445,4.488904316
0.06,23.98,0.04,3.05,0.008,0.7,0.51,1.35,1.07,0.7,0.7,0.101,1.16,1.11,0.008,26.8,5.58,0.09,0.38,0.03,0,6.866356515,4.346153563
0.01,18.82,0.05,3.77,0.008,5.99,0.54,0.79,0.54,0.2,0.009,0.126,17.56,1.82,0.009,17.54,4.33,0.1,0.05,0.02,0,,2.601517589
0.01,2.41,0.03,0.59,0.002,1.94,0.77,1.54,0.62,0.23,0.001,0.017,1.99,1.08,0.007,11.16,0.98,0.01,0.47,0.03,0,7.553844615,4.37456385
0.09,15.84,0.02,0.06,0.001,5.29,0.47,1.08,1.43,0.89,0.89,0.08,1.91,1.2,0.008,0.18,6.89,0.06,0.12,0.08,0,7.366671989,3.394450273
0.39,17.03,0.02,0.88,0.009,7.78,0.88,1.15,0.34,0.85,0.85,0.065,17.86,1.53,0.003,19.4,1.14,0.1,0.4,0.01,0,6.567759613,3.824428039
0.1,26.94,0.02,0.36,0.001,1.21,0.68,0.71,0.99,0.75,0.75,0.071,0.31,1.22,0.002,56.7,1,0,0.41,0.05,0,6.333640046,3.982002335
0.07,17.99,0.02,3.43,0.006,0.01,0.41,1.82,0.22,0.99,0.99,0.108,8.06,1.76,0.005,24.29,0.88,0.1,0.1,0.07,0,5.892413186,3.311813193
0.1,18.99,0.001,0.04,0.006,4.57,0.2,1.18,1,0.92,0.92,0.086,9.46,1.41,0.007,21.79,3.05,0.03,0.13,0.08,0,7.91803917,3.386109813
0,8.12,0.02,0.97,0.007,3.47,0.65,1.51,1.46,0.58,0.58,0.061,8.96,1.5,0.004,14.6,1.74,0.03,0.01,0.06,0,6.549124998,4.421058844
0.09,10.67,0.02,0.55,0.001,3.74,0.12,1.77,0.43,0.8,0.8,0.114,12.69,1.18,0.008,34.64,0.9,0.02,0.16,0.06,0,6.804796145,4.847312562
0.03,20.64,0.03,2.6,0.008,7.24,0.61,1.23,1.44,0.56,0.56,0.012,9.42,1.74,0.004,36.23,3.22,0.07,0.18,0.08,0,,4.704273495
0.13,27.05,0.01,0.68,0.003,4.07,0.13,1.34,0.29,0.96,0.96,0.167,15.05,1.92,0.002,56.32,7.99,0.06,0.5,0.06,0,7.17617087,4.742966749
0.07,22.07,0.03,0.46,0.001,7.22,0.73,1.05,1,0.25,0.007,0.109,1.92,1.07,0.001,39.4,0.49,0.04,0.47,0.05,0,7.085095883,3.932839293
0.15,6.81,0.01,0.85,0.006,2.55,0.25,1.09,1.35,0.16,0.002,0.031,16.99,1.7,0.007,44.76,1.15,0.08,0.26,0.08,0,7.201702375,3.883250198
0.01,2.4,0.001,2.8,0.003,2.87,0.73,0.27,0.53,0.44,0.002,0.11,13.73,1.69,0.009,55.27,3.29,0.04,0.17,0,0,7.776044113,5.425945934
0.11,15.14,0.03,1.76,0.007,6.63,0.62,1.57,0.26,0.69,0.69,0.182,1.49,1.81,0.008,24.91,2.39,0.01,0.2,0.05,0,,4.258488737
0.05,25.84,0.01,3.04,0.002,2.78,0.72,0.46,1.41,0.08,0.006,0.049,9.64,1.43,0.006,36.57,4.55,0.03,0.19,0,0,7.046548537,2.869226102
0.1,22.8,0.001,2.01,0.002,5.87,0.78,1.53,0.87,0.13,0.008,0.079,8.64,1.19,0.007,24.61,7.77,0.06,0.11,0.05,0,,4.480574391
0.13,6.1,0.05,3.74,0.008,2.86,0.52,1.03,0.51,0.77,0.77,0.012,1.11,1.55,0.008,20.32,2.21,0.02,0.48,0.04,0,7.732880078,3.510728004
0.02,26.19,0.04,3.02,0.006,4,0.17,1.56,0.91,0.38,0.005,0.013,11,1,0.006,14.16,6.16,0.05,0.05,0.08,0,6.266799948,3.652844726
0.07,15.75,0.03,2.54,0.008,4.25,0.74,1.35,1.24,0.12,0.006,0.193,17.29,1.27,0.001,58.15,1.71,0.09,0.44,0.05,0,6.630251709,5.181202492
0.12,29.29,0.001,2.93,0.007,7.75,0.68,1.09,0,0.8,0.8,0.091,17.33,1.86,0.001,43.09,3.76,0.09,0.3,0,0,6.775631133,3.017544306
0.1,4.07,0.05,1.87,0.005,4.55,0.32,0.9,0.55,0.3,0.002,0.135,5.23,1.43,0.004,36.52,6.15,0.04,0.16,0.04,0,,4.32378488
0.29,23.19,0.03,2.69,0.006,4.94,0.76,1.85,1.24,0.75,0.75,0.124,1.91,1,0.008,24.84,3.19,0.08,0.37,0.06,0,8.164992426,4.16249551
0.13,26.85,0.02,0.88,0.004,0.64,0.61,0.91,0.42,0.44,0.006,0.107,13.24,1.19,0.009,0.73,0.5,0.04,0.35,0,0,7.773758137,4.040974482
0.06,13.08,0.04,1.58,0.002,2.86,0.87,1.88,0.4,0.13,0.004,0.085,11.96,1.35,0.008,46.3,4.7,0.1,0.04,0.05,0,7.295141332,5.056104024
0.08,19.9,0.03,2.67,0.006,4.3,0.26,0.08,0.34,0.26,0.003,0.146,7.96,1.56,0.006,51.39,2.41,0.09,0.12,0.05,0,,3.842113986
0.3,9.49,0.05,3.63,0.006,2.24,0.9,0.22,0.68,0.63,0.63,0.162,11.4,1.83,0.005,42.64,6.14,0.09,0.44,0.06,0,7.657541728,4.792527452
0,22.32,0.01,0.55,0.004,2.4,0.36,0.29,0.51,0.86,0.86,0.048,1.79,1.68,0.005,43.51,5.45,0.07,0.04,0.07,0,7.664793523,5.481690934
0.22,1.07,0.04,1.86,0.003,2.9,0.84,1.92,1.2,0.32,0.003,0.082,18.91,1.73,0.008,23.6,0.37,0.02,0.46,0.08,0,,3.619545637
0.08,28.19,0.001,0.25,0.001,3.58,0.68,1.29,1.04,0.49,0.001,0.079,15.05,1.09,0.005,23.68,3.39,0.01,0.2,0.03,0,7.800421289,3.345910382
0.01,13.74,0.02,0.52,0.007,2.99,0.11,1.14,0.36,0.13,0.008,0.071,18.7,1.25,0.004,39.31,2.18,0.04,0.01,0.02,1,7.264069097,3.960282114
0.06,0.14,0.02,0.06,0.003,5.71,0.88,1.71,1.42,0.27,0.002,0.103,16.16,1.25,0.006,17.24,2.3,0.07,0,0,1,7.544305636,3.714096435
0.04,28.84,0.01,2.16,0.001,1.26,0.85,1.59,1.04,0.08,0.007,0.141,6.48,1.43,0.006,44.66,2.67,0.05,0.35,0.08,0,7.749773784,4.317186298
0.02,10.83,0.01,3.94,0.008,5.38,0.72,0.3,0.52,0.38,0.002,0.131,8.21,1.28,0.005,43.79,4.27,0.06,0.25,0.05,0,7.442023084,2.894651172
0.05,9.02,0.04,3.98,0.002,0.22,0.09,0.54,0.14,0.27,0.004,0.069,8.43,1.84,0.007,21.79,2.91,0.08,0.43,0.09,0,6.559252621,4.216315016
0.08,0.44,0.001,2.5,0.007,6.11,0.35,1.79,0.89,0.67,0.67,0.136,14.27,1.73,0.006,16.99,4.12,0.09,0.42,0.01,0,7.035036795,4.557028866
0.04,23.16,0.001,3.5,0.002,0.68,0.47,0.54,1.33,0.05,0.001,0.166,11.59,1.2,0.006,28.03,0.92,0.07,0.03,0.08,0,7.880685943,3.579983811
0.07,20.81,0.04,2.8,0.004,7.7,0.82,0.44,1.2,0.77,0.77,0.112,10.09,1.34,0.001,11,1.53,0.01,0.27,0.06,0,7.498372459,4.242241799
0.13,18.64,0.04,1.31,0.003,5.47,0.04,1.97,0.59,0.18,0.007,0.169,5.03,1.84,0.004,38.49,7.12,0.07,0.28,0.01,0,,3.756100423
0.02,10.15,0.04,1.98,0.001,7.97,0.32,1.98,0.66,0.06,0.008,0.101,7.22,1.69,0.009,5.2,5.63,0.04,0.12,0.01,0,6.538207173,3.426266449
0.21,8.63,0.04,1.07,0.008,6.19,0.49,0.65,0.9,0.58,0.58,0.093,10.16,1.21,0.003,10.21,5.8,0.05,0.24,0.05,0,6.373288071,4.538108781
0.06,3.53,0.03,2.79,0.007,4.08,0.81,1.23,0.75,0.79,0.79,0.025,15.92,1.87,0.002,38.51,7.18,0.07,0.45,0.03,0,5.756475689,4.002081517
0.1,21.24,0.05,3.86,0.008,2.49,0.51,1.06,0.1,0.84,0.84,0.139,15.88,1.25,0.001,55.98,4.87,0.08,0.02,0.07,0,6.918062438,3.566298462
0.08,3.22,0.01,0.65,0.008,0.9,0.83,1.08,0.15,0.23,0.007,0.184,2.67,1.21,0.001,13.9,4.86,0,0.21,0.05,0,8.81350466,4.242459863
0.07,12.4,0.05,3.45,0.006,4.5,0.04,0.14,1.01,0.42,0,0.015,9.11,1.69,0.008,30.41,4.34,0.01,0.35,0,0,7.361599832,3.751588622
0.06,2.21,0.001,3.53,0.002,0.88,0.64,1.26,0.83,0.77,0.77,0.09,11.38,1.68,0.004,31.6,2.75,0.09,0.24,0.08,0,9.175586153,2.959684621
0.13,29.19,0.02,1.71,0.007,1.13,0.53,1.34,0.03,0.98,0.98,0.068,10.9,1.45,0.005,2.75,3.81,0.05,0.18,0.02,0,,3.952594441
0.05,13.59,0.01,0.84,0.001,3.85,0.23,1.69,1.47,0.05,0.008,0.123,5.54,1.13,0.009,14.98,6.13,0.03,0.48,0.05,0,6.550877193,4.824825939
0.1,3.14,0.02,0.22,0.009,6.16,0.47,1.75,1.28,0.23,0.008,0.177,16.44,1.24,0.003,40.47,4.91,0.01,0.17,0.08,0,6.510855611,4.225608376
0.28,3.82,0.001,0.58,0.003,7.06,0.45,1.61,0.45,0.24,0.002,0.149,18.77,1.69,0.004,23.25,4.39,0.1,0.33,0.03,0,7.347030356,4.2978807
0.02,21.08,0.01,3.74,0.008,3.43,0.02,0.19,0.52,0.74,0.74,0.062,6.69,1.79,0.004,55.67,6.65,0,0.42,0.02,0,8.11195317,4.430750456
0.07,19.96,0.03,3.02,0.008,4.4,0.89,0.38,0.02,0.76,0.76,0.121,7.47,1.37,0.008,29.55,3.29,0.07,0.26,0.09,0,,3.825936697
0.01,12.28,0.02,2.16,0.002,4.89,0.36,0.34,0.14,0.06,0.004,0.086,14.33,1.07,0,34.47,3.75,0.01,0.02,0.06,0,5.985012451,3.764099674
0.34,22.33,0.02,2.27,0.001,6.57,0.89,0.93,0.2,0.51,0.51,0.105,5.88,1.48,0.002,29.48,0.63,0.04,0.43,0.05,0,,4.219225569
0,8.7,0.04,3.11,0.005,2.15,0.71,0.7,0.32,0.65,0.65,0.168,2.43,1.16,0.003,18.61,1.44,0.09,0.31,0.01,0,,4.514174613
0.1,10.59,0.01,0.57,0.004,2.38,0.26,1.55,1.09,0.72,0.72,0.137,13.82,1.45,0.001,33.95,7.4,0.09,0.37,0.03,0,6.433722353,3.641489972
0.28,8.83,0.05,2.24,0.003,4.77,0.03,1.11,0.36,0.27,0.006,0.189,16.25,1.56,0.01,3.77,7.81,0.01,0.21,0.05,0,6.770095146,5.203461367
0.01,13.84,0.01,3.92,0.005,7.81,0.41,1.97,0.61,0.52,0.52,0.095,13.32,1.74,0.005,48.78,2.95,0.01,0.12,0.02,0,7.927969553,4.847262262
0.08,28.55,0.02,1.67,0.007,2.79,0.6,0.42,1.13,0.05,0.004,0.053,12.29,1.37,0.006,55.21,1.29,0.08,0.12,0.04,0,7.338826111,4.017061119
0.01,18.97,0.04,1.47,0.006,1.78,0.03,1.34,0.26,0.07,0.008,0.113,1.51,1.4,0.01,49.53,2.73,0.09,0.11,0.04,0,7.078361074,3.263464731
0.29,19.42,0.02,1.78,0.005,1.97,0.74,0.18,0.13,0.79,0.79,0.132,9.4,1.68,0.006,25.97,6.35,0,0.17,0.06,0,6.751668627,3.735173416
0.01,8.17,0.001,3.76,0.004,3.4,0.29,1.28,0.32,0.53,0.53,0.175,0.8,1.09,0.007,8.33,6.53,0.01,0.32,0.02,0,7.744125219,3.612260192
0.08,16.66,0.001,2.93,0.008,4.41,0.71,1.14,1.14,0.45,0.004,0.045,8.62,1.34,0.01,46.2,7.02,0.02,0.42,0.04,0,7.560392023,4.257805108
0.18,14.14,0.02,2.86,0.009,5.27,0.01,0.71,0.52,0.39,0.007,0.146,7.72,1.57,0.003,27.48,2.92,0.07,0.41,0.01,0,7.830607591,3.551568013
0.05,27.89,0.02,3.25,0.004,3.35,0.77,1.99,0.22,0.25,0.008,0.085,3.29,1.88,0.008,15.08,2.35,0.09,0.09,0.03,0,6.746934968,3.485535976
0.01,18.79,0.02,0.07,0.004,2.69,0.31,1.21,1.21,0.83,0.83,0.105,8.23,1.59,0.003,36.31,6.11,0.04,0.34,0.05,0,6.542281787,3.794055433
0.04,14.79,0.04,3.08,0.007,6.06,0.68,1.3,0.5,0.1,0.008,0.036,2.08,1.69,0.008,54.32,0.86,0.01,0.19,0.02,0,8.549692514,3.039018779
0.03,9.33,0.04,1.28,0.008,7.56,0.22,0.95,0.28,0.53,0.53,0.182,18.6,1.21,0.009,3.26,0.28,0.08,0.08,0.09,0,7.499844502,4.663869576
0.07,28.29,0.01,0.88,0.005,3.55,0.65,0.01,0.43,0.27,0.007,0.033,5.85,1.28,0.001,52.7,5.14,0.01,0.06,0.05,0,5.763772807,3.253200107
0.02,25.95,0.01,0.75,0.008,0.13,0.18,1.44,0.3,0.18,0.004,0.162,2.31,1.36,0.008,38.31,5.41,0.01,0.32,0,0,7.276863125,6.083772354
0.07,10.38,0.05,0.17,0.006,7.52,0.89,0.52,0.32,0.31,0.002,0.11,3.55,1.79,0,6.24,4.15,0.01,0.1,0.02,1,7.493290816,3.74874691
0.07,22.51,0.04,2.97,0.007,6.57,0.41,1.44,0.58,0.96,0.96,0.191,9.99,1.9,0.008,48.08,6.53,0.02,0.21,0.08,0,6.11602398,3.984308829
0.14,9.32,0.03,2.99,0.004,3.57,0.85,1.01,0.68,0.11,0.006,0.127,15.08,1.36,0.006,21.89,2.24,0,0.12,0.01,0,5.226895232,5.13805579
0.02,15.62,0.02,3.18,0.002,1.28,0.52,1.64,0.86,0.64,0.64,0.032,10.07,1.74,0.006,54.15,6.46,0.03,0.35,0.06,0,,3.227940799
0.08,15.42,0.05,1.38,0.001,6.02,0.33,0.22,0.01,0.76,0.76,0.052,14.91,1.06,0.009,21.87,4.74,0.01,0.26,0.05,0,6.420640206,3.139940274
0.17,17.69,0.04,1.87,0.006,1.12,0.38,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,5.73,1.08,0.04,0.03,0.01,1,7.669012537,4.589512953
0.07,21.84,0.03,3.45,0.008,6.1,0.23,0.76,1.16,0.79,0.79,0.049,16.88,1.4,0.006,59.03,4.29,0.07,0.08,0,0,7.128062255,4.510595264
0,13.74,0.01,1.36,0.001,0.19,0.51,1.5,0.69,0.82,0.82,0.053,1.08,1.24,0.005,8.65,6.98,0.05,0.15,0.07,0,,3.895572062
0.11,2.84,0.01,3.54,0.005,1.85,0.15,1.99,1.29,0.86,0.86,0.047,7.52,1.5,0.002,46.24,3.95,0.04,0.14,0.02,0,6.615350135,4.453443265
0.16,22.84,0.01,2.09,0.005,3.32,0.79,1.57,0.66,0.58,0.58,0.071,13.52,1.58,0.008,30.98,3.32,0.05,0.32,0.06,0,6.504876222,3.748443401
0.1,4.15,0.02,2,0.005,4.25,0.19,1.23,0.86,0.87,0.87,0.019,16.16,1.18,0.007,34.48,1.62,0.01,0.21,0.08,0,7.459124173,3.544751521
0.17,13.55,0.03,3.28,0.001,2.38,0.17,0.25,1.25,0.7,0.7,0.129,15.72,1.81,0.003,10.88,5.41,0.03,0.11,0.07,0,,4.804828567
0.13,19.11,0.02,1.74,0.007,1.89,0.69,0.87,0.69,0.55,0.55,0.153,5.91,1.31,0.007,39.05,4.15,0.01,0.38,0.08,0,7.096047101,4.785637378
0.05,23.02,0.03,2.24,0.004,0.46,0.02,1.77,0.62,0.14,0.006,0.137,14.86,1.19,0.004,27.85,7.6,0.01,0.45,0.05,0,2.97442941,2.779901842
0.09,13.18,0.02,2.44,0.001,4.8,0.33,0.73,0.68,0.45,0.006,0.053,17.71,1.73,0.008,58.4,6.6,0.1,0.06,0.04,0,,2.619420879
0.22,11.12,0.04,0.92,0.009,4.59,0.85,1.1,1.48,0.75,0.75,0.147,8.25,1.38,0.007,10.75,1.2,0.02,0.27,0.02,0,,4.431829144
0.03,9.19,0.05,0.65,0.006,6.25,0.61,0.77,0.76,0.51,0.51,0.086,10.31,1.17,0,31.57,6.36,0.02,0.17,0.08,0,8.111101031,3.663774941
0.05,29.68,0.03,2.86,0.006,4.54,0.72,0.14,1.42,1,1,0.082,11.3,1.46,0.006,33.09,4.96,0,0.16,0.05,0,7.116132606,3.915381678
0.08,18.02,0.04,0.13,0.005,5.22,0.84,0.62,0.97,0.23,0.006,0.12,8.9,1.3,0.003,6.87,5.77,0.01,0.03,0.07,0,5.280292296,3.835305908
0.35,20.06,0.02,2.73,0.005,1.86,0.81,0.36,0.73,0.47,0,0.003,14.01,1.36,0.005,10.62,4.48,0.03,0.38,0.02,0,,3.346057063
0.02,11.92,0.05,3.2,0.006,7.37,0.46,1.43,1.49,0.58,0.58,0.16,6.03,1.25,0,33.02,6.74,0,0.42,0,0,9.808258179,4.48126124
0.07,26.77,0.02,0.29,0.006,7.36,0.15,1.65,0.08,0.51,0.51,0.025,13.73,1.53,0.002,30.29,4.41,0.08,0.34,0.06,0,,4.492387447
0.1,6.54,0.01,1.46,0.001,3.07,0.11,0.05,1.21,0.33,0.001,0.015,1.72,1.02,0.001,3.47,6.28,0.09,0.47,0.01,0,8.018831607,3.188477334
0.01,9.61,0.02,1.32,0.007,2.89,0.69,0.16,0.87,0.67,0.67,0.18,11.22,1.65,0.003,28.47,7.28,0.07,0.12,0.01,0,6.603640717,3.403798435
0.02,12.26,0.04,3.61,0.001,3.58,0.47,0.13,1.29,0.82,0.82,0.072,12.75,1.37,0.006,32.48,1.45,0.02,0.31,0.04,0,6.450805743,3.275581182
0.07,0.27,0.04,0.16,0.001,6.75,0.09,1.72,0.89,0.09,0.005,0.184,10.2,1.47,0.001,25.77,5.26,0,0.1,0.08,0,6.26637841,2.936610535
